Date 20.07.2020 15:06:39
Wavelength / nm,Intensity / a.u.
Data
384.60242,21806.0
384.60858,21899.0
384.61475,21948.0
384.62091,21916.0
384.62708,22006.0
384.63324,22019.0
384.6394,22167.0
384.64554,22096.0
384.6517,22103.0
384.65787,22102.0
384.66403,21985.0
384.6702,21910.0
384.67636,22017.0
384.68253,21908.0
384.68866,21862.0
384.69482,21864.0
384.70099,21979.0
384.70715,21929.0
384.71332,21908.0
384.71948,21835.0
384.72562,21839.0
384.73178,21762.0
384.73795,21699.0
384.74411,21780.0
384.75027,21773.0
384.75644,21752.0
384.76257,21848.0
384.76874,21826.0
384.7749,21956.0
384.78107,22000.0
384.78723,21924.0
384.7934,21931.0
384.79953,21883.0
384.80569,21985.0
384.81186,21904.0
384.81802,21959.0
384.82419,21933.0
384.83032,21924.0
384.83649,21928.0
384.84265,21936.0
384.84882,21920.0
384.85498,21926.0
384.86111,21866.0
384.86728,21921.0
384.87344,21943.0
384.87961,21931.0
384.88577,22155.0
384.89191,22518.0
384.89807,22858.0
384.90424,22888.0
384.9104,22919.0
384.91656,22865.0
384.9227,22725.0
384.92886,22587.0
384.93503,22268.0
384.94119,22184.0
384.94733,22185.0
384.95349,22205.0
384.95966,22201.0
384.96582,22239.0
384.97195,22223.0
384.97812,22139.0
384.98428,22139.0
384.99045,22139.0
384.99661,22159.0
385.00275,22353.0
385.00891,22377.0
385.01508,22497.0
385.02124,22577.0
385.02737,22534.0
385.03354,22617.0
385.0397,22581.0
385.04584,22479.0
385.052,22234.0
385.05817,22264.0
385.06433,22039.0
385.07047,22078.0
385.07663,22036.0
385.08279,22103.0
385.08896,21996.0
385.09509,21912.0
385.10126,21971.0
385.10742,22139.0
385.11356,22053.0
385.11972,22125.0
385.12589,22106.0
385.13205,22160.0
385.13818,22098.0
385.14435,22252.0
385.15051,22337.0
385.15665,22430.0
385.16281,22317.0
385.16898,22342.0
385.17511,22326.0
385.18127,22384.0
385.18744,22322.0
385.1936,22267.0
385.19974,22308.0
385.2059,22375.0
385.21207,22422.0
385.2182,22493.0
385.22437,22597.0
385.23053,22632.0
385.23666,22646.0
385.24283,22509.0
385.24899,22483.0
385.25513,22237.0
385.26129,22141.0
385.26746,21924.0
385.27359,21901.0
385.27975,21820.0
385.28592,21871.0
385.29205,21751.0
385.29822,21712.0
385.30438,21784.0
385.31052,21687.0
385.31668,21843.0
385.32285,21910.0
385.32898,21782.0
385.33514,21732.0
385.34131,21723.0
385.34744,21840.0
385.35361,21806.0
385.35974,21753.0
385.36591,21782.0
385.37207,21832.0
385.3782,21790.0
385.38437,21818.0
385.39053,21869.0
385.39667,21800.0
385.40283,21851.0
385.40897,21918.0
385.41513,21872.0
385.4213,21917.0
385.42743,21895.0
385.43359,21858.0
385.43976,21803.0
385.44589,21829.0
385.45206,21901.0
385.45819,22122.0
385.46436,22029.0
385.47052,22151.0
385.47665,22226.0
385.48282,22223.0
385.48895,22046.0
385.49512,21993.0
385.50128,21862.0
385.50742,21821.0
385.51358,21723.0
385.51971,21738.0
385.52588,21728.0
385.53201,21753.0
385.53818,21851.0
385.54434,21810.0
385.55048,21849.0
385.55664,21888.0
385.56277,21915.0
385.56894,21921.0
385.57507,21957.0
385.58124,21986.0
385.5874,21891.0
385.59354,21872.0
385.5997,21830.0
385.60583,21771.0
385.612,21798.0
385.61813,21793.0
385.6243,21720.0
385.63043,21716.0
385.6366,21768.0
385.64276,21885.0
385.6489,21989.0
385.65506,21953.0
385.66119,21920.0
385.66736,21872.0
385.67349,21879.0
385.67966,21774.0
385.68579,21801.0
385.69196,21813.0
385.69809,21894.0
385.70425,21852.0
385.71039,21879.0
385.71655,21748.0
385.72269,21802.0
385.72885,21768.0
385.73499,21795.0
385.74115,21814.0
385.74728,21699.0
385.75345,21846.0
385.75961,21792.0
385.76575,21793.0
385.77191,21781.0
385.77805,21916.0
385.78421,21977.0
385.79034,22036.0
385.79651,21960.0
385.80264,22110.0
385.80878,22105.0
385.81494,22017.0
385.82108,22002.0
385.82724,21887.0
385.83337,21837.0
385.83954,21829.0
385.84567,21728.0
385.85184,22004.0
385.85797,21998.0
385.86414,22228.0
385.87027,22508.0
385.87643,22904.0
385.88257,23356.0
385.88873,23472.0
385.89487,23419.0
385.90103,23344.0
385.90717,23201.0
385.9133,22880.0
385.91946,22512.0
385.9256,22266.0
385.93176,22068.0
385.9379,21994.0
385.94406,21934.0
385.9502,21966.0
385.95636,21861.0
385.96249,21871.0
385.96866,21872.0
385.97479,21948.0
385.98093,21821.0
385.98709,21886.0
385.99323,21950.0
385.99939,22007.0
386.00552,22105.0
386.01169,22145.0
386.01782,22216.0
386.02396,22227.0
386.03012,22296.0
386.03625,22162.0
386.04242,21992.0
386.04855,22061.0
386.05469,22029.0
386.06085,22021.0
386.06699,22109.0
386.07315,22209.0
386.07928,22256.0
386.08542,22373.0
386.09158,22364.0
386.09772,22328.0
386.10388,22255.0
386.11002,22362.0
386.11615,22246.0
386.12231,22186.0
386.12845,22294.0
386.13461,22112.0
386.14075,22229.0
386.14688,22198.0
386.15305,22246.0
386.15918,22401.0
386.16531,22574.0
386.17148,22482.0
386.17761,22530.0
386.18378,22370.0
386.18991,22338.0
386.19604,22275.0
386.20221,22018.0
386.20834,21881.0
386.21448,21861.0
386.22064,21840.0
386.22678,21752.0
386.23291,21817.0
386.23907,21766.0
386.24521,21742.0
386.25134,21773.0
386.25751,21795.0
386.26364,21827.0
386.26978,21748.0
386.27594,21731.0
386.28207,21816.0
386.28821,21849.0
386.29437,21705.0
386.30051,21735.0
386.30664,21708.0
386.31281,21761.0
386.31894,22005.0
386.32507,22180.0
386.33124,22465.0
386.33737,22541.0
386.34351,22686.0
386.34967,22598.0
386.3558,22607.0
386.36194,22386.0
386.3681,22180.0
386.37424,22017.0
