Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
430.65292,32506.0
430.65884,31986.0
430.66473,28738.0
430.67065,24478.0
430.67657,20347.0
430.68246,17840.0
430.68839,17849.0
430.69431,19706.0
430.7002,21976.0
430.70612,23837.0
430.71201,24625.0
430.71793,25360.0
430.72385,26826.0
430.72974,28935.0
430.73566,29707.0
430.74155,28150.0
430.74747,25223.0
430.75339,22772.0
430.75928,22401.0
430.7652,23565.0
430.77109,24978.0
430.77701,25847.0
430.78293,26215.0
430.78882,26844.0
430.79474,27149.0
430.80063,26501.0
430.80655,25183.0
430.81247,23946.0
430.81836,23913.0
430.82428,25300.0
430.83017,26639.0
430.83609,27061.0
430.84198,25329.0
430.8479,23643.0
430.85382,23038.0
430.85971,24474.0
430.86563,26679.0
430.87152,28845.0
430.87744,29877.0
430.88333,30227.0
430.88925,29715.0
430.89517,28537.0
430.90106,27670.0
430.90698,27542.0
430.91287,27831.0
430.91879,27429.0
430.92468,25803.0
430.9306,24714.0
430.93649,24797.0
430.94241,26087.0
430.9483,26874.0
430.95422,26330.0
430.96014,24525.0
430.96603,23535.0
430.97195,24762.0
430.97784,28343.0
430.98376,32392.0
430.98965,34556.0
430.99557,33016.0
431.00146,29368.0
431.00739,25975.0
431.01328,25668.0
431.0192,27069.0
431.02509,28609.0
431.03101,28939.0
431.0369,28398.0
431.04282,27642.0
431.04871,26736.0
431.05463,25768.0
431.06052,25134.0
431.06644,25920.0
431.07233,27710.0
431.07825,30215.0
431.08414,32034.0
431.09006,32594.0
431.09595,31538.0
431.10187,29300.0
431.10776,28230.0
431.11368,29474.0
431.11957,32243.0
431.12549,34611.0
431.13138,34733.0
431.1373,33148.0
431.14319,31353.0
431.14911,29874.0
431.155,27891.0
431.16092,25297.0
431.16681,23135.0
431.1727,22969.0
431.17862,25667.0
431.18451,29162.0
431.19043,33050.0
431.19632,35278.0
431.20224,35416.0
431.20813,33914.0
431.21405,30165.0
431.21994,26459.0
431.22586,23964.0
431.23175,23410.0
431.23764,24786.0
431.24356,25899.0
431.24945,26551.0
431.25537,27144.0
431.26126,27756.0
431.26718,29345.0
431.27307,30440.0
431.27896,30180.0
431.28488,28200.0
431.29077,24561.0
431.29669,20913.0
431.30258,17991.0
431.3085,16655.0
431.31439,16527.0
431.32028,17116.0
431.3262,19073.0
431.33209,21328.0
431.33801,23785.0
431.3439,24594.0
431.34979,23453.0
431.35571,21148.0
431.3616,18675.0
431.36752,17047.0
431.37341,16476.0
431.3793,16572.0
431.38522,17382.0
431.39111,18860.0
431.39703,20250.0
431.40292,20997.0
431.40881,20361.0
431.41473,18770.0
431.42062,17242.0
431.42651,16077.0
431.43243,15654.0
431.43832,15583.0
431.44424,15634.0
431.45013,15627.0
431.45602,15922.0
431.46194,16067.0
431.46783,16118.0
431.47372,15719.0
431.47964,15492.0
431.48553,15239.0
431.49146,15321.0
431.49734,15229.0
431.50323,15221.0
431.50916,15194.0
431.51505,15231.0
431.52094,15319.0
431.52686,15388.0
431.53275,15575.0
431.53864,15678.0
431.54456,15962.0
431.55045,16063.0
431.55634,16059.0
431.56226,15972.0
431.56815,15855.0
431.57404,15597.0
431.57996,15304.0
431.58585,15321.0
431.59174,15280.0
431.59766,15269.0
431.60355,15263.0
431.60944,15231.0
431.61533,15171.0
431.62125,15228.0
431.62714,15240.0
431.63303,15311.0
431.63895,15180.0
431.64484,15185.0
431.65073,15121.0
431.65665,15004.0
431.66254,15189.0
431.66843,15028.0
431.67435,15120.0
431.68024,15153.0
431.68613,15104.0
431.69202,15136.0
431.69794,15134.0
431.70383,15308.0
431.70972,15242.0
431.71564,15206.0
431.72153,15295.0
431.72742,15228.0
431.73331,15187.0
431.73923,15275.0
431.74512,15214.0
431.75101,15312.0
431.7569,15283.0
431.76282,15364.0
431.76871,15304.0
431.7746,15367.0
431.78049,15417.0
431.78641,15585.0
431.7923,15633.0
431.79819,15568.0
431.80408,15533.0
431.81,15436.0
431.81589,15310.0
431.82178,15272.0
431.82767,15399.0
431.83359,15299.0
431.83948,15283.0
431.84537,15093.0
431.85126,15041.0
431.85718,15208.0
431.86307,15076.0
431.86896,15120.0
431.87485,15183.0
431.88077,15064.0
431.88666,15101.0
431.89255,15121.0
431.89844,15093.0
431.90433,15112.0
431.91025,15063.0
431.91614,15154.0
431.92203,15226.0
431.92792,15287.0
431.93381,15393.0
431.93973,15307.0
431.94562,15386.0
431.95151,15294.0
431.9574,15235.0
431.96329,15117.0
431.96921,15155.0
431.9751,15244.0
431.98099,15170.0
431.98688,15226.0
431.99277,15222.0
431.99869,15173.0
432.00458,15343.0
432.01047,15129.0
432.01636,15074.0
432.02225,15128.0
432.02814,15094.0
432.03406,15105.0
432.03995,15209.0
432.04584,15128.0
432.05173,15233.0
432.05762,15177.0
432.06351,15203.0
432.06943,15168.0
432.07532,15243.0
432.08121,15320.0
432.0871,15372.0
432.09299,15426.0
432.09888,15374.0
432.10477,15456.0
432.11069,15519.0
432.11658,15524.0
432.12247,15504.0
432.12836,15410.0
432.13425,15376.0
432.14014,15216.0
432.14603,15179.0
432.15195,15125.0
432.15784,15229.0
432.16373,15234.0
432.16962,15177.0
432.17551,15198.0
432.1814,15131.0
432.18729,15207.0
432.19318,15262.0
432.1991,15213.0
432.20499,15175.0
432.21088,15095.0
432.21677,15219.0
432.22266,15156.0
