Date and Time:                Wed May 6 09:03:37.717 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
223.91579	14.927
223.94868	18.1935
223.98158	18.7887
224.01448	17.8128
224.04736	19.9675
224.08026	25.4338
224.11316	25.7086
224.14606	20.4497
224.17896	16.3787
224.21185	16.3692
224.24475	19.0173
224.27765	20.2678
224.31055	20.3334
224.34344	19.618
224.37634	17.0802
224.40923	16.6741
224.44212	18.4129
224.47502	18.3476
224.50792	19.3993
224.54082	22.056
224.57372	21.5309
224.60661	20.9571
224.63951	22.1648
224.67241	19.6841
224.70531	11.2394
224.7382	4.43814
224.77109	10.9596
224.80399	23.2156
224.83688	21.4447
224.86978	15.7875
224.90268	14.0264
224.93558	15.735
224.96848	20.5494
225.00137	24.0579
225.03427	22.7302
225.06717	18.4176
225.10005	14.5206
225.13295	13.0574
225.16585	16.63
225.19875	18.3675
225.23164	20.2822
225.26454	22.4269
225.29744	18.2522
225.33034	13.0082
225.36324	15.5482
225.39613	21.3696
225.42903	23.8364
225.46191	27.092
225.49481	29.0851
225.52771	25.4115
225.56061	20.0917
225.59351	14.9313
225.6264	12.4339
225.6593	13.0032
225.6922	15.6962
225.7251	20.3851
225.758	26.4261
225.79089	30.0399
225.82378	28.6529
225.85667	20.3006
225.88957	14.7801
225.92247	16.9626
225.95537	18.6529
225.98827	17.1821
226.02116	17.8894
226.05406	18.8487
226.08696	17.8327
226.11986	16.3386
226.15276	16.9664
226.18564	17.5303
226.21854	15.3577
226.25143	14.7555
226.28433	19.3048
226.31723	27.3963
226.35013	29.5046
226.38303	21.674
226.41592	21.3645
226.44882	30.5086
226.48172	29.4239
226.51462	20.3603
226.5475	14.8566
226.5804	14.2892
226.6133	14.0919
226.64619	12.1689
226.67909	10.6187
226.71199	12.3607
226.74489	17.7743
226.77779	21.997
226.81068	21.161
226.84358	15.3203
226.87648	9.7063
226.90936	8.89365
226.94226	14.5797
226.97516	18.5468
227.00806	15.9668
227.04095	12.9994
227.07385	11.1993
227.10675	12.5113
227.13965	18.5789
227.17255	24.3902
227.20544	23.333
227.23833	17.3518
227.27122	14.2382
227.30412	15.371
227.33702	20.9355
227.36992	25.9422
227.40282	26.9952
227.43571	24.2369
227.46861	19.7943
227.50151	14.1072
227.53441	9.56435
227.56731	11.9343
227.60019	12.6418
227.63309	11.6334
227.66599	15.9166
227.69888	20.6907
227.73178	18.171
227.76468	12.7235
227.79758	11.2947
227.83047	11.7185
227.86337	10.0533
227.89627	6.74854
227.92917	3.58978
227.96205	7.54913
227.99495	16.4079
228.02785	21.784
228.06075	19.9022
228.09364	18.5158
228.12654	18.4542
228.15944	14.7492
228.19234	9.77365
228.22523	8.613
228.25813	11.4145
228.29103	12.8509
228.32391	11.6513
228.35681	8.68858
228.38971	7.05687
228.42261	9.97804
228.45551	10.9741
228.4884	8.96208
228.5213	10.0342
228.5542	8.49613
228.5871	2.5466
228.62	1.74878
228.65289	6.13223
228.68578	11.3676
228.71867	15.4869
228.75157	18.3863
228.78447	23.1937
228.81737	23.6027
228.85027	15.7938
228.88316	10.2166
228.91606	8.70834
228.94896	10.9541
228.98186	14.6213
229.01476	12.83
229.04764	7.04894
229.08054	6.48085
229.11343	8.66051
229.14633	10.3145
229.17923	12.812
229.21213	18.9016
229.24503	20.8756
229.27792	16.2891
229.31082	12.8357
229.34372	12.6091
229.3766	13.4304
229.4095	15.153
229.4424	14.7756
229.4753	9.24332
229.50819	4.45119
229.54109	8.01229
229.57399	13.4759
229.60689	15.3103
229.63979	13.1025
229.67268	8.93692
229.70558	6.42613
229.73846	6.895
229.77136	11.9442
229.80426	17.9485
229.83716	19.7438
229.87006	17.314
229.90295	10.1506
229.93585	4.10517
229.96875	5.88247
230.00165	9.22933
230.03455	11.1753
230.06744	12.6886
230.10033	14.1979
230.13322	17.1147
230.16612	19.8037
230.19902	17.3563
230.23192	11.2479
230.26482	9.52874
230.29771	9.46236
230.33061	7.40106
230.36351	6.72983
230.39641	8.31861
230.42931	8.35748
230.46219	8.23077
230.49509	9.07703
230.52798	11.1806
230.56088	15.546
230.59378	18.2333
230.62668	19.1591
230.65958	18.8889
230.69247	20.2676
230.72537	33.3459
230.75827	68.5171
230.79117	119.031
230.82405	150.547
230.85695	147.145
230.88985	128.313
230.92274	110.752
230.95564	102.364
230.98854	105.793
231.02144	107.868
231.05434	88.5077
231.08723	54.4424
231.12013	27.2167
231.15303	18.7871
231.18591	16.2702
231.21881	9.09148
231.25171	3.14941
231.28461	4.73694
231.3175	9.95514
231.3504	9.29295
231.3833	9.41374
231.4162	10.6979
231.4491	11.2363
231.48199	12.3072
231.51488	10.7038
231.54778	7.39376
231.58067	7.93722
231.61357	11.923
231.64647	13.2879
231.67937	14.8995
231.71227	19.2464
231.74516	21.2219
231.77806	20.5284
231.81096	17.8632
231.84386	13.6307
231.87674	8.79188
231.90964	9.43898
231.94254	13.2068
231.97543	11.7448
232.00833	9.18552
232.04123	7.58508
232.07413	5.75866
232.10703	3.65892
232.13992	3.82626
232.17282	6.14263
232.20572	6.12551
232.2386	2.09548
232.2715	-1.69531
232.3044	-1.45825
232.3373	5.49635
232.37019	13.4001
232.40309	15.574
232.43599	13.53
232.46889	5.63875
232.50179	-1.97626
232.53468	-4.31591
232.56758	-1.5235
232.60046	2.87894
232.63336	5.79954
232.66626	7.571
232.69916	10.3261
232.73206	12.0504
232.76495	9.27888
232.79785	7.95975
232.83075	9.84394
232.86365	18.2212
232.89655	44.2178
232.92944	88.2585
232.96233	121.534
232.99522	128.946
233.02812	124.558
233.06102	115.102
233.09392	106.811
233.12682	100.863
233.15971	102.194
233.19261	101.691
233.22551	79.4848
233.25841	45.2541
233.29131	24.5198
233.32419	19.3943
233.35709	19.0802
233.38998	19.5152
233.42288	18.9939
233.45578	15.2609
233.48868	12.6057
233.52158	14.8641
233.55447	16.9892
233.58737	15.4506
233.62027	11.5217
233.65317	7.6067
233.68605	8.78809
233.71895	14.1648
233.75185	15.9948
233.78474	14.2164
233.81764	11.0984
233.85054	9.40118
233.88344	11.0342
233.91634	12.3696
233.94923	11.4374
233.98213	15.2767
234.01501	16.3305
234.04791	12.2402
234.08081	12.0888
234.11371	12.2304
234.14661	12.8502
234.1795	15.5555
234.2124	22.401
234.2453	28.7392
234.2782	39.1648
234.3111	52.1945
234.34399	56.9347
234.37688	54.806
234.40977	50.0212
234.44267	46.7426
234.47557	46.9452
234.50847	46.6994
234.54137	42.0739
234.57426	36.4801
234.60716	32.7883
234.64006	30.118
234.67296	28.2627
234.70586	23.6994
234.73874	18.5753
234.77164	19.8575
234.80453	22.4593
234.83743	24.3166
234.87033	20.5138
234.90323	13.7955
234.93613	13.9641
234.96902	18.7596
235.00192	20.516
235.03482	18.9166
235.06772	16.161
235.1006	14.257
235.1335	14.4765
235.1664	10.8333
235.1993	7.31595
235.23219	7.95602
235.26509	12.1274
235.29799	17.8381
235.33089	20.0862
235.36378	18.9645
235.39668	19.5361
235.42958	20.0733
235.46246	20.3836
235.49536	23.9331
235.52826	22.9254
235.56116	17.489
235.59406	17.4531
235.62695	20.2929
235.65985	25.3081
235.69275	24.7863
235.72565	17.2201
235.75854	14.1979
235.79144	19.3983
235.82433	27.0343
235.85722	31.0537
235.89012	31.2931
235.92302	30.0737
235.95592	26.979
235.98882	23.9159
236.02171	22.7579
236.05461	22.4928
236.08751	24.2354
236.12041	30.3064
236.15329	34.8927
236.18619	32.9367
236.21909	29.8024
236.25198	26.4193
236.28488	25.1078
236.31778	26.8414
236.35068	25.7603
236.38358	26.1872
236.41647	32.2292
236.44937	33.5617
236.48227	32.0204
236.51515	34.5611
236.54805	37.2401
236.58095	35.9263
236.61385	34.3625
236.64674	31.5646
236.67964	27.8244
236.71254	27.3564
236.74544	32.1384
236.77834	36.8432
236.81123	39.1823
236.84413	39.8643
236.87701	39.4923
236.90991	41.2443
236.94281	43.885
236.97571	44.1505
237.00861	42.0413
237.0415	42.8442
237.0744	45.6463
237.1073	49.1518
237.1402	52.3054
237.1731	52.0606
237.20599	46.8066
237.23888	39.5286
237.27177	40.864
237.30467	50.8475
237.33757	54.337
237.37047	48.7189
237.40337	42.8444
237.43626	41.7164
237.46916	41.6778
237.50206	38.3065
237.53496	35.5007
237.56786	38.1649
237.60074	43.7816
237.63364	49.332
237.66653	50.7543
237.69943	48.6277
237.73233	48.8717
237.76523	51.275
237.79813	52.0274
237.83102	49.811
237.86392	46.0436
237.89682	46.3247
237.92972	50.7839
237.9626	51.7092
237.9955	45.7591
238.0284	40.5837
238.06129	39.812
238.09419	42.6309
238.12709	44.5096
238.15999	42.7316
238.19289	42.1543
238.22578	43.1881
238.25868	48.5436
238.29156	52.7698
238.32446	49.8401
238.35736	48.3258
238.39026	44.1569
238.42316	37.9912
238.45605	38.0743
238.48895	43.5808
238.52185	46.6502
238.55475	46.1781
238.58765	43.5357
238.62054	40.1904
238.65343	37.8991
238.68633	35.216
238.71922	29.9547
238.75212	27.8336
238.78502	36.3092
238.81792	45.7857
238.85081	47.7717
238.88371	44.1008
238.91661	41.8613
238.94951	42.1419
238.98241	41.076
239.01529	39.9303
239.04819	39.6508
239.08109	38.9487
239.11398	40.641
239.14688	43.5183
239.17978	41.9857
239.21268	40.593
239.24557	39.5586
239.27847	38.6232
239.31137	39.0404
239.34427	38.7017
239.37715	33.0856
239.41005	24.002
239.44295	26.1329
239.47585	36.0941
239.50874	40.2207
239.54164	38.7477
239.57454	34.5827
239.60744	37.0925
239.64034	42.8039
239.67323	42.4971
239.70613	41.5136
239.73901	40.3595
239.77191	39.2071
239.80481	40.2115
239.83771	42.4401
239.87061	44.13
239.9035	40.4403
239.9364	34.9968
239.9693	34.1019
240.0022	32.818
240.0351	30.8948
240.06799	32.1055
240.10088	34.4305
240.13377	37.2987
240.16667	34.4463
240.19957	30.4851
240.23247	35.8396
240.26537	41.9622
240.29826	40.5611
240.33116	38.7102
240.36406	38.8736
240.39696	36.1356
240.42984	30.2714
240.46274	29.0477
240.49564	33.6087
240.52853	34.5428
240.56143	33.0888
240.59433	34.7608
240.62723	36.2436
240.66013	37.1562
240.69302	39.2977
240.72592	42.0257
240.75882	39.5217
240.7917	35.9476
240.8246	36.7559
240.8575	39.0067
240.8904	39.4445
240.92329	37.0312
240.95619	37.4873
240.98909	41.9487
241.02199	45.5224
241.05489	48.7153
241.08778	57.1235
241.12068	66.1656
241.15356	65.3126
241.18646	60.6387
241.21936	57.3212
241.25226	55.9841
241.28516	58.9713
241.31805	63.2241
241.35095	68.4126
241.38385	75.7741
241.41675	82.254
241.44965	80.2063
241.48254	75.5644
241.51543	79.6342
241.54832	86.6293
241.58122	88.0169
241.61412	87.4757
241.64702	87.3037
241.67992	84.6632
241.71281	83.0977
241.74571	80.1343
241.77861	75.2409
241.81151	71.7562
241.84441	70.4003
241.87729	69.7742
241.91019	68.1999
241.94308	64.6969
241.97598	60.2126
242.00888	59.1545
242.04178	56.4199
242.07468	53.3561
242.10757	54.4891
242.14047	55.0089
242.17337	54.3717
