Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
384.70651	369
384.71271	377
384.7189	375
384.72507	346
384.73126	392
384.73746	347
384.74365	316
384.74985	390
384.75604	363
384.76224	367
384.76843	321
384.77463	348
384.78082	401
384.78702	380
384.79321	347
384.79941	340
384.80557	349
384.81177	368
384.81796	319
384.82416	358
384.83035	341
384.83655	363
384.84274	400
384.84894	383
384.85513	359
384.86133	375
384.86749	364
384.87369	373
384.87988	400
384.88608	356
384.89227	325
384.89847	348
384.90466	372
384.91086	379
384.91705	336
384.92322	399
384.92941	385
384.93561	367
384.9418	407
384.948	332
384.95419	329
384.96039	378
384.96658	376
384.97275	355
384.97894	344
384.98514	374
384.99133	398
384.99753	333
385.00372	393
385.00992	348
385.01608	359
385.02228	373
385.02847	352
385.03467	336
385.04086	380
385.04706	385
385.05325	365
385.05942	377
385.06561	403
385.07181	358
385.078	382
385.0842	422
385.09039	343
385.09656	387
385.10275	393
385.10895	406
385.11514	392
385.12134	415
385.12753	328
385.1337	371
385.13989	337
385.14609	384
385.15228	350
385.15848	347
385.16464	329
385.17084	348
385.17703	363
385.18323	373
385.18942	353
385.19562	369
385.20178	449
385.20798	349
385.21417	332
385.22037	371
385.22656	356
385.23273	355
385.23892	370
385.24512	371
385.25131	396
385.25748	418
385.26367	371
385.26987	373
385.27606	403
385.28226	367
385.28842	369
385.29462	339
385.30081	376
385.30701	361
385.31317	409
385.31937	383
385.32556	401
385.33176	419
385.33795	405
385.34412	393
385.35031	425
385.35651	373
385.3627	401
385.36887	325
385.37506	353
385.38126	380
385.38745	405
385.39362	364
385.39981	405
385.40601	352
385.4122	381
385.41837	417
385.42456	377
385.43076	327
385.43695	385
385.44312	410
385.44931	372
385.45551	375
385.4617	341
385.46786	373
385.47406	406
385.48026	351
385.48642	367
385.49261	371
385.49881	356
385.505	365
385.51117	382
385.51736	388
385.52356	358
385.52972	382
385.53592	391
385.54211	398
385.54831	368
385.55447	402
385.56067	440
385.56686	385
385.57303	386
385.57922	379
385.58542	410
385.59158	393
385.59778	370
385.60397	411
385.61017	388
385.61633	394
385.62253	378
385.62872	370
385.63489	391
385.64108	355
385.64728	326
385.65344	354
385.65964	377
385.66583	360
385.672	385
385.67819	321
385.68439	397
385.69055	371
385.69675	354
385.70294	393
385.70911	374
385.7153	353
385.7215	409
385.72766	357
385.73386	353
385.74005	340
385.74622	374
385.75241	383
385.75861	376
385.76477	398
385.77097	392
385.77716	417
385.78333	376
385.78952	364
385.79568	369
385.80188	365
385.80807	386
385.81424	377
385.82043	376
385.82663	372
385.83279	334
385.83899	357
385.84518	377
385.85135	363
385.85754	396
385.86371	349
385.8699	448
385.8761	381
385.88226	410
385.88846	377
385.89462	384
385.90082	403
385.90701	413
385.91318	374
385.91937	376
385.92557	385
385.93173	427
385.93793	421
385.94409	391
385.95029	401
385.95648	389
385.96265	382
385.96884	346
385.97501	333
385.9812	433
385.98737	399
385.99356	387
385.99976	354
386.00592	389
386.01212	408
386.01828	400
386.02448	378
386.03067	401
386.03683	396
386.04303	376
386.04919	407
386.05539	408
386.06155	408
386.06775	362
386.07391	356
386.08011	380
386.0863	395
386.09247	416
386.09866	383
386.10483	381
386.11102	418
386.11719	357
386.12338	378
386.12955	371
386.13574	364
386.14194	404
386.1481	397
386.1543	393
386.16046	373
386.16666	377
386.17282	409
386.17902	408
386.18518	384
386.19138	383
386.19754	383
386.20374	394
386.2099	399
386.21609	418
386.22226	389
386.22845	388
386.23462	404
386.24081	363
386.24698	378
386.25317	400
386.25937	417
386.26553	343
386.27173	420
386.27789	378
386.28409	414
386.29025	361
386.29645	399
386.30261	357
386.30881	407
386.31497	393
386.32117	359
386.32733	394
386.3335	376
386.33969	396
386.34586	401
386.35205	345
386.35822	377
386.36441	382
386.37057	428
386.37677	388
386.38293	426
386.38913	382
386.39529	366
386.40149	407
386.40765	383
386.41385	338
386.42001	397
386.42621	412
386.43237	409
386.43857	402
386.44473	415
386.4509	418
386.45709	391
386.46326	413
386.46945	381
386.47562	425
386.48181	413
386.48798	372
386.49417	395
386.50034	401
386.5065	405
386.5127	443
386.51886	372
386.52505	386
386.53122	429
386.53741	397
386.54358	366
386.54974	400
386.55594	409
386.5621	392
386.5683	370
386.57446	414
386.58066	374
386.58682	377
386.59299	407
386.59918	399
386.60535	386
386.61154	397
386.61771	397
386.62387	418
386.63007	400
386.63623	370
386.64243	390
386.64859	403
386.65475	329
386.66095	407
386.66711	417
386.67331	415
386.67947	386
386.68564	407
386.69183	372
386.698	353
386.70419	361
386.71036	411
386.71652	386
386.72272	406
386.72888	431
386.73508	389
386.74124	336
386.74741	425
386.7536	423
386.75977	380
386.76593	394
386.77213	382
386.77829	383
386.78445	359
386.79065	398
386.79681	354
386.80301	385
386.80917	394
386.81534	429
386.82153	422
386.8277	402
386.83386	425
386.84006	427
386.84622	412
386.85239	389
386.85858	375
386.86475	405
386.87091	397
386.87711	378
386.88327	394
386.88943	405
386.89563	389
386.90179	403
386.90796	396
386.91415	436
386.92032	388
386.92648	391
386.93268	439
386.93884	381
386.94501	385
386.9512	407
386.95737	409
386.96353	380
386.9697	395
386.97589	378
386.98206	416
386.98822	410
386.99442	393
387.00058	398
387.00674	422
387.01294	425
387.0191	405
387.02527	377
387.03143	403
387.03763	376
387.04379	385
387.04996	427
387.05615	438
387.06232	433
387.06848	419
387.07465	468
387.08084	452
387.08701	430
387.09317	449
387.09937	444
387.10553	421
387.11169	451
387.11786	444
387.12405	414
387.13022	414
387.13638	410
387.14255	410
387.14874	427
387.15491	450
387.16107	400
387.16724	408
387.17343	420
387.1796	421
387.18576	477
387.19193	447
387.19812	442
387.20428	447
387.21045	427
387.21661	396
387.22281	447
387.22897	395
387.23514	453
387.2413	423
387.24747	363
387.25366	409
387.25983	375
387.26599	393
387.27216	414
387.27835	370
387.28452	403
387.29068	420
387.29684	408
387.30301	383
387.3092	372
387.31537	439
387.32153	415
387.3277	446
387.33386	428
387.34006	407
387.34622	412
387.35239	395
387.35855	390
387.36472	382
387.37091	379
387.37708	434
387.38324	442
387.3894	444
387.39557	437
387.40176	421
387.40793	416
387.41409	407
387.42026	344
387.42642	448
387.43262	395
387.43878	396
387.44495	395
387.45111	410
387.45728	407
387.46344	346
387.46964	351
387.4758	415
387.48196	397
387.48813	362
387.49429	411
387.50046	400
387.50662	415
387.51282	401
387.51898	416
387.52515	406
387.53131	430
387.53748	384
387.54364	372
387.54984	410
387.556	398
387.56216	392
387.56833	414
387.57449	401
387.58066	370
387.58682	421
387.59299	372
387.59918	416
387.60535	383
387.61151	403
387.61768	385
387.62384	452
387.63	433
387.63617	379
387.64233	422
387.64853	411
387.65469	434
387.66086	413
387.66702	401
387.67319	416
387.67935	429
387.68552	426
387.69168	382
387.69785	381
387.70401	360
387.71021	391
387.71637	423
387.72253	409
387.7287	419
387.73486	441
387.74103	374
387.74719	393
387.75336	380
387.75952	401
387.76569	401
387.77185	382
387.77802	381
387.78421	402
387.79037	450
387.79654	359
387.8027	424
387.80887	362
387.81503	406
387.8212	383
387.82736	389
387.83353	395
387.83969	378
387.84586	396
387.85202	414
387.85818	418
387.86435	446
387.87051	375
387.87668	371
387.88284	398
387.88904	390
387.8952	417
387.90137	415
387.90753	398
387.9137	376
387.91986	406
387.92603	402
387.93219	409
387.93835	456
387.94452	386
387.95068	443
387.95685	456
387.96301	400
387.96918	422
387.97534	383
387.98151	395
387.98767	388
387.99384	389
388	410
388.00616	415
388.01233	407
388.01849	407
388.02466	376
388.03082	392
388.03699	374
388.04315	398
388.04932	376
388.05548	380
388.06165	456
388.06781	407
388.07397	402
388.08014	387
388.0863	423
388.09247	431
388.09863	416
388.1048	394
388.11096	412
388.11713	387
388.12329	438
388.12946	408
388.13562	368
388.14178	368
388.14795	418
388.15411	419
388.16028	396
388.16644	377
388.17261	371
388.17877	410
388.18491	350
388.19107	433
388.19724	377
388.2034	388
388.20956	404
388.21573	427
388.22189	351
388.22806	407
388.23422	449
388.24039	372
388.24655	399
388.25272	379
388.25888	407
388.26505	427
388.27121	418
388.27737	351
388.28354	384
388.28967	395
388.29584	415
388.302	400
388.30817	403
388.31433	359
388.3205	404
388.32666	413
388.33282	386
388.33899	432
388.34515	414
388.35132	427
388.35748	404
388.36362	405
388.36978	440
388.37595	385
388.38211	423
388.38828	435
388.39444	416
388.4006	375
388.40677	426
388.41293	381
388.41907	369
388.42523	386
