Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
213.02702	29.7818
213.05992	24.0891
213.09282	17.9894
213.12572	18.054
213.15862	22.8598
213.19151	24.2907
213.22441	21.9263
213.25731	17.1774
213.29021	13.0839
213.3231	14.0652
213.35599	17.4142
213.38889	17.6666
213.42178	16.3356
213.45468	17.8263
213.48758	17.8412
213.52048	15.2192
213.55338	11.2428
213.58627	10.1913
213.61917	17.9151
213.65207	22.9425
213.68497	18.5554
213.71785	15.482
213.75075	16.4312
213.78365	16.4188
213.81654	12.6621
213.84944	7.18665
213.88234	7.04591
213.91524	13.2667
213.94814	13.8292
213.98103	7.56774
214.01393	13.3624
214.04683	22.9611
214.07971	25.761
214.11261	22.7055
214.14551	16.6869
214.17841	12.5366
214.2113	11.9212
214.2442	13.8866
214.2771	13.7842
214.31	5.90734
214.3429	-0.80277
214.37579	0.92821
214.40868	1.95019
214.44157	2.84718
214.47447	8.55042
214.50737	11.7059
214.54027	10.6887
214.57317	13.5359
214.60606	16.3002
214.63896	15.4344
214.67186	18.4196
214.70476	25.4898
214.73766	27.8411
214.77054	20.7463
214.80344	11.178
214.83633	9.03396
214.86923	13.4502
214.90213	18.9277
214.93503	20.9182
214.96793	19.1329
215.00082	16.4428
215.03372	14.5375
215.06662	14.0683
215.09952	16.4431
215.1324	14.3746
215.1653	9.88493
215.1982	8.37984
215.23109	9.97473
215.26399	13.9268
215.29689	16.3327
215.32979	15.4928
215.36269	14.2592
215.39558	14.2531
215.42848	12.4838
215.46138	8.04929
215.49426	7.73743
215.52716	15.0356
215.56006	23.4034
215.59296	21.888
215.62585	14.3057
215.65875	10.8616
215.69165	10.6879
215.72455	9.0975
215.75745	7.61833
215.79034	10.4772
215.82324	16.4005
215.85612	19.9279
215.88902	18.8757
215.92192	17.1923
215.95482	15.8922
215.98772	11.9848
216.02061	8.7625
216.05351	8.28709
216.08641	9.12084
216.11931	10.3636
216.15221	10.5275
216.1851	8.12829
216.21799	8.72323
216.25089	15.6284
216.28378	14.5454
216.31668	8.68304
216.34958	9.48762
216.38248	9.65679
216.41537	10.6089
216.44827	14.8994
216.48117	16.8014
216.51407	16.1503
216.54695	15.7808
216.57985	14.9496
216.61275	15.0082
216.64565	17.6698
216.67854	17.8105
216.71144	15.9696
216.74434	13.8734
216.77724	11.2865
216.81013	10.8609
216.84303	13.4448
216.87593	14.4214
216.90881	11.4724
216.94171	9.94066
216.97461	14.6765
217.00751	19.7908
217.04041	20.3771
